time,cam_x,cam_y,cam_z,obj_x,obj_y,obj_z,cam_i,cam_j,cam_k,cam_w,obj_i,obj_j,obj_k,obj_w
0.05,61.44671163720638,25.468000779780333,134.34814048507639,-172.12791134921784,855.4574968644985,139.6802519466103,0.008869787191710384,-0.02322920827817685,0.6852228933772612,0.7279088659644403,-0.01187628718983241,0.0035453039703013407,-0.7931053223763138,0.6089583994335788
0.05,61.448816911998435,25.45962901883544,134.33664513217556,-172.35852717452002,855.1431909024125,139.59539373279924,0.008666787517531848,-0.022603485238356782,0.6852949266452086,0.7278631964617688,-0.012559597643342161,0.0028896183711628067,-0.7864160175949236,0.6175627529918295
0.05,61.46966905154556,25.473210610587813,134.35250090258924,-172.0685641623606,855.3949067300833,139.65049371684637,0.008204497313362846,-0.022183703240389353,0.6850659468333662,0.7280969839407941,-0.015010711163443954,0.0017592874832242434,-0.7987302251679161,0.6014994687122583
0.05,61.44968780449009,25.46795766670534,134.35135862659052,-172.30828448102585,855.299267487776,139.48679931011927,0.008647803101598637,-0.022547476225339366,0.6851310402849208,0.7280194258778306,-0.012833129143523683,0.0005442388773259851,-0.8016050533273291,0.5977159468179848
0.05,61.42543807863787,25.46080316144181,134.35796420187242,-172.03058158270755,855.4308340724164,139.55211011152045,0.008813308077041298,-0.022803453129291374,0.6851902673462235,0.7279537249441961,-0.0031671212795648528,0.004244336420567298,-0.793524648254043,0.6085150676560498
0.05,61.44050274447485,25.46522709731507,134.3609479791851,-172.1508744120606,855.3632424111262,139.65794493771412,0.008778992567435624,-0.022971719901748282,0.6852961041806493,0.7278492144456029,-0.006258409122956464,0.005225546966854988,-0.7977186966170827,0.6029746321709477
0.05,61.45776722146943,25.461902895587837,134.3530321643465,-172.35430832907213,855.0149962062156,139.47819111091667,0.00874194166441547,-0.022980233813669097,0.6851205954096501,0.7280145994795241,-0.006975770562022345,0.0012252584758080478,-0.7857966327701025,0.6184444108356888
0.05,61.45538201978948,25.469307377354564,134.35181874458738,-172.1080078364009,855.3718128518365,139.58165961492182,0.008716065538048271,-0.022633380236640965,0.6850905137842237,0.7280540833093847,-0.00026410367777078043,0.0036940054090302886,-0.797180130336749,0.6037301751358544
0.05,60.99744881315656,25.262671045362637,134.2798687095527,-172.1525011098805,855.3409799316262,139.57883732180198,0.012054134937585222,-0.03192728781395697,0.680245192185989,0.732189746330552,0.0010655384621128404,0.004228064387596708,-0.7986292031269757,0.6018075971704678
0.05,61.01617922055955,25.2691950278867,134.27766642601208,-171.84197434128893,855.5912823183743,139.52847347703383,0.012070677686675923,-0.031947022562893425,0.6800989277608158,0.7323244738148105,-0.010068000289918772,0.005506738182807434,-0.7922547478408262,0.6100825564859376
0.05,61.01958310235424,25.258704877228023,134.27203629866906,-172.10770305781975,855.4060436757452,139.57045947230552,0.012099031694121479,-0.032092993832567716,0.6802064119246873,0.7322177888821535,-0.0009595964549667612,0.00410725097644999,-0.7964700587927797,0.6046632576159114
